category,indexInCategory,filePath
Paper,259,data/Paper/Paper_259.jpg
Paper,265,data/Paper/Paper_265.jpg
Paper,271,data/Paper/Paper_271.jpg
Paper,488,data/Paper/Paper_488.jpg
Paper,339,data/Paper/Paper_339.jpg
Paper,311,data/Paper/Paper_311.jpg
Paper,477,data/Paper/Paper_477.jpg
Paper,463,data/Paper/Paper_463.jpg
Paper,305,data/Paper/Paper_305.jpg
Paper,17,data/Paper/Paper_17.jpg
Paper,113,data/Paper/Paper_113.jpg
Paper,107,data/Paper/Paper_107.jpg
Paper,106,data/Paper/Paper_106.jpg
Paper,16,data/Paper/Paper_16.jpg
Paper,112,data/Paper/Paper_112.jpg
Paper,462,data/Paper/Paper_462.jpg
Paper,304,data/Paper/Paper_304.jpg
Paper,310,data/Paper/Paper_310.jpg
Paper,476,data/Paper/Paper_476.jpg
Paper,338,data/Paper/Paper_338.jpg
Paper,489,data/Paper/Paper_489.jpg
Paper,270,data/Paper/Paper_270.jpg
Paper,264,data/Paper/Paper_264.jpg
Paper,258,data/Paper/Paper_258.jpg
Paper,299,data/Paper/Paper_299.jpg
Paper,272,data/Paper/Paper_272.jpg
Paper,500,data/Paper/Paper_500.jpg
Paper,266,data/Paper/Paper_266.jpg
Paper,448,data/Paper/Paper_448.jpg
Paper,306,data/Paper/Paper_306.jpg
Paper,460,data/Paper/Paper_460.jpg
Paper,474,data/Paper/Paper_474.jpg
Paper,312,data/Paper/Paper_312.jpg
Paper,138,data/Paper/Paper_138.jpg
Paper,28,data/Paper/Paper_28.jpg
Paper,104,data/Paper/Paper_104.jpg
Paper,110,data/Paper/Paper_110.jpg
Paper,14,data/Paper/Paper_14.jpg
Paper,111,data/Paper/Paper_111.jpg
Paper,15,data/Paper/Paper_15.jpg
Paper,105,data/Paper/Paper_105.jpg
Paper,29,data/Paper/Paper_29.jpg
Paper,139,data/Paper/Paper_139.jpg
Paper,475,data/Paper/Paper_475.jpg
Paper,313,data/Paper/Paper_313.jpg
Paper,307,data/Paper/Paper_307.jpg
Paper,461,data/Paper/Paper_461.jpg
Paper,449,data/Paper/Paper_449.jpg
Paper,267,data/Paper/Paper_267.jpg
Paper,273,data/Paper/Paper_273.jpg
Paper,298,data/Paper/Paper_298.jpg
Paper,288,data/Paper/Paper_288.jpg
Paper,277,data/Paper/Paper_277.jpg
Paper,263,data/Paper/Paper_263.jpg
Paper,465,data/Paper/Paper_465.jpg
Paper,303,data/Paper/Paper_303.jpg
Paper,317,data/Paper/Paper_317.jpg
Paper,471,data/Paper/Paper_471.jpg
Paper,459,data/Paper/Paper_459.jpg
Paper,101,data/Paper/Paper_101.jpg
Paper,11,data/Paper/Paper_11.jpg
Paper,115,data/Paper/Paper_115.jpg
Paper,39,data/Paper/Paper_39.jpg
Paper,129,data/Paper/Paper_129.jpg
Paper,128,data/Paper/Paper_128.jpg
Paper,38,data/Paper/Paper_38.jpg
Paper,10,data/Paper/Paper_10.jpg
Paper,114,data/Paper/Paper_114.jpg
Paper,100,data/Paper/Paper_100.jpg
Paper,458,data/Paper/Paper_458.jpg
Paper,316,data/Paper/Paper_316.jpg
Paper,470,data/Paper/Paper_470.jpg
Paper,464,data/Paper/Paper_464.jpg
Paper,302,data/Paper/Paper_302.jpg
Paper,262,data/Paper/Paper_262.jpg
Paper,276,data/Paper/Paper_276.jpg
Paper,289,data/Paper/Paper_289.jpg
Paper,260,data/Paper/Paper_260.jpg
Paper,274,data/Paper/Paper_274.jpg
Paper,248,data/Paper/Paper_248.jpg
Paper,499,data/Paper/Paper_499.jpg
Paper,472,data/Paper/Paper_472.jpg
Paper,314,data/Paper/Paper_314.jpg
Paper,300,data/Paper/Paper_300.jpg
Paper,466,data/Paper/Paper_466.jpg
Paper,328,data/Paper/Paper_328.jpg
Paper,116,data/Paper/Paper_116.jpg
Paper,12,data/Paper/Paper_12.jpg
Paper,102,data/Paper/Paper_102.jpg
Paper,103,data/Paper/Paper_103.jpg
Paper,117,data/Paper/Paper_117.jpg
Paper,13,data/Paper/Paper_13.jpg
Paper,329,data/Paper/Paper_329.jpg
Paper,301,data/Paper/Paper_301.jpg
Paper,467,data/Paper/Paper_467.jpg
Paper,473,data/Paper/Paper_473.jpg
Paper,315,data/Paper/Paper_315.jpg
Paper,498,data/Paper/Paper_498.jpg
Paper,249,data/Paper/Paper_249.jpg
Paper,275,data/Paper/Paper_275.jpg
Paper,261,data/Paper/Paper_261.jpg
Paper,206,data/Paper/Paper_206.jpg
Paper,212,data/Paper/Paper_212.jpg
Paper,399,data/Paper/Paper_399.jpg
Paper,428,data/Paper/Paper_428.jpg
Paper,414,data/Paper/Paper_414.jpg
Paper,372,data/Paper/Paper_372.jpg
Paper,366,data/Paper/Paper_366.jpg
Paper,400,data/Paper/Paper_400.jpg
